NCESSCH School ID,CT Unemployment Rate,CT Pct Adults with College Degree,CT Pct Childre In Married Couple Family,CT Median Household Income,School ACT average (or equivalent if SAT score),School Pct Free and Reduced Lunch
1.20018E+11,6%,81%,72%,89750,20.20,37%
1.20018E+11,13%,65%,84%,45954,23.30,19%
1.20018E+11,10%,80%,81%,97593,22.11,18%
1.20018E+11,6%,53%,73%,51023,19.64,53%
1.20018E+11,10%,64%,87%,85717,21.84,19%
1.20024E+11,24%,51%,14%,26636,21.94,40%
1.20024E+11,22%,58%,71%,44063,22.84,35%
1.20024E+11,6%,56%,52%,38237,21.18,48%
1.20024E+11,24%,51%,14%,26636,23.23,1%
1.20027E+11,19%,54%,38%,32095,20.15,47%
1.20027E+11,12%,39%,54%,29109,21.35,49%
1.20027E+11,11%,49%,54%,35531,21.74,42%
1.2003E+11,12%,55%,52%,39375,20.89,38%
1.2003E+11,20%,57%,73%,55221,21.42,36%
1.2003E+11,12%,49%,26%,37944,21.64,30%
1.2003E+11,4%,62%,60%,58974,20.32,33%
1.2003E+11,8%,55%,58%,47981,21.91,27%
1.2003E+11,12%,68%,65%,86081,22.91,11%
1.2003E+11,9%,71%,73%,82955,20.10,21%
1.20033E+11,10%,65%,80%,61088,21.69,37%
1.20033E+11,17%,32%,65%,44471,20.54,61%
1.20033E+11,8%,9%,35%,18861,17.54,87%
1.20033E+11,5%,70%,66%,48660,22.81,24%
1.20033E+11,8%,72%,77%,63483,22.33,20%
1.20033E+11,12%,60%,49%,43057,18.64,67%
1.20033E+11,6%,56%,57%,59273,20.42,40%
1.20036E+11,13%,56%,48%,44231,21.45,45%
1.20036E+11,23%,54%,75%,42857,20.15,53%
1.20039E+11,9%,58%,59%,33465,18.37,70%
1.20039E+11,3%,93%,79%,122750,20.47,61%
1.20039E+11,8%,38%,47%,38911,15.51,76%
1.20039E+11,10%,72%,82%,66385,15.32,73%
1.20039E+11,21%,24%,56%,25114,15.78,86%
1.20039E+11,0%,68%,100%,36250,19.57,58%
1.20039E+11,20%,39%,54%,45873,16.27,81%
1.20039E+11,28%,34%,53%,21844,14.68,78%
1.20039E+11,17%,60%,70%,37332,19.22,69%
1.20039E+11,20%,26%,27%,24715,14.63,88%
1.20039E+11,20%,21%,44%,15170,15.90,87%
1.20039E+11,2%,76%,82%,94439,19.59,51%
1.20039E+11,18%,50%,58%,59688,15.73,75%
1.20039E+11,21%,34%,11%,23190,15.51,81%
1.20039E+11,9%,85%,87%,97500,22.28,30%
1.20039E+11,8%,61%,22%,23644,18.13,82%
1.20039E+11,10%,76%,74%,70306,18.98,71%
1.20039E+11,5%,61%,82%,65854,18.32,60%
1.20039E+11,15%,55%,71%,29519,18.88,69%
1.20039E+11,20%,40%,67%,32333,16.44,83%
1.20039E+11,9%,68%,78%,60673,18.20,75%
1.20039E+11,5%,83%,85%,60521,18.30,68%
1.20039E+11,11%,34%,35%,27561,16.59,78%
1.20039E+11,8%,53%,49%,52715,19.47,66%
1.20039E+11,8%,74%,65%,36651,26.14,27%
1.20039E+11,28%,34%,53%,21844,16.78,79%
1.20039E+11,10%,61%,90%,85893,18.86,64%
1.20039E+11,13%,58%,46%,37350,23.11,29%
1.20039E+11,,,,,25.84,20%
1.20039E+11,,34%,,,22.62,24%
1.20039E+11,15%,41%,62%,34725,19.42,54%
1.20039E+11,15%,53%,61%,56169,22.55,32%
1.20039E+11,21%,50%,65%,49479,20.84,21%
1.20039E+11,7%,53%,58%,61118,21.40,48%
1.20039E+11,35%,30%,24%,16328,14.80,89%
1.20039E+11,4%,85%,72%,62158,20.23,40%
1.20039E+11,20%,38%,50%,29637,20.37,61%
1.20039E+11,5%,91%,97%,64236,19.30,28%
1.20039E+11,16%,56%,49%,44224,17.08,65%
1.20039E+11,4%,31%,80%,25616,19.81,52%
1.20039E+11,12%,52%,93%,48171,19.98,48%
1.20039E+11,13%,39%,52%,37760,19.32,59%
1.20039E+11,6%,70%,67%,55098,20.49,60%
1.20039E+11,8%,76%,79%,62765,18.37,57%
1.20039E+11,0%,75%,86%,48250,20.67,34%
1.20039E+11,4%,85%,72%,62158,20.98,32%
1.20039E+11,14%,30%,45%,25490,19.76,79%
1.20039E+11,12%,39%,60%,43882,18.17,70%
1.20039E+11,7%,25%,32%,16258,22.33,53%
1.20039E+11,7%,61%,83%,78531,19.00,54%
1.20039E+11,7%,25%,32%,16258,19.47,85%
1.20039E+11,13%,62%,69%,50703,18.13,51%
1.20039E+11,10%,52%,85%,46950,16.78,69%
1.20039E+11,5%,61%,82%,65854,24.38,31%
1.20039E+11,30%,40%,13%,14000,20.62,65%
1.20039E+11,13%,58%,46%,37350,20.57,20%
1.20039E+11,11%,74%,64%,43660,22.59,27%
1.20039E+11,19%,60%,38%,25060,19.32,52%
1.20039E+11,10%,29%,64%,28661,18.15,54%
1.20042E+11,13%,34%,41%,37471,19.40,70%
1.20048E+11,6%,83%,74%,45172,17.71,53%
1.20048E+11,24%,35%,14%,20212,15.98,69%
1.20048E+11,15%,38%,77%,50797,18.52,36%
1.20048E+11,15%,33%,7%,26369,23.52,19%
1.20048E+11,13%,45%,58%,42854,17.71,53%
1.20048E+11,10%,51%,40%,33693,16.47,59%
1.20048E+11,18%,39%,10%,25517,16.10,54%
1.20048E+11,19%,40%,18%,19228,26.45,9%
1.20048E+11,15%,39%,20%,27548,15.32,63%
1.20048E+11,3%,84%,93%,68026,21.67,25%
1.20048E+11,10%,50%,53%,26196,17.15,59%
1.20048E+11,10%,68%,72%,55728,20.47,35%
1.20048E+11,19%,49%,34%,43768,15.73,48%
1.20048E+11,18%,46%,17%,30587,18.64,54%
1.20048E+11,19%,49%,34%,43768,17.34,45%
1.20048E+11,19%,40%,18%,19228,14.88,61%
1.20048E+11,17%,49%,45%,28571,22.11,13%
1.20048E+11,8%,83%,87%,97904,21.30,18%
1.20048E+11,12%,57%,78%,54417,17.71,40%
1.20048E+11,23%,32%,17%,18221,21.94,31%
1.20048E+11,12%,64%,40%,46232,20.10,25%
1.20048E+11,5%,88%,72%,50886,20.37,22%
1.20051E+11,8%,56%,34%,28712,18.66,51%
1.20051E+11,9%,83%,73%,48417,25.74,55%
1.20051E+11,11%,73%,61%,54590,22.67,31%
1.20051E+11,11%,72%,72%,66625,19.22,60%
1.20051E+11,9%,60%,33%,35275,22.52,44%
1.20051E+11,11%,72%,72%,66625,20.89,31%
1.20054E+11,14%,53%,57%,38319,19.88,50%
1.20054E+11,8%,63%,69%,60167,21.06,41%
1.2006E+11,4%,57%,46%,50250,15.12,45%
1.20066E+11,,,,,18.57,54%
1.20072E+11,17%,33%,43%,35773,15.42,36%
1.20075E+11,11%,23%,66%,33143,17.47,62%
1.20078E+11,21%,44%,48%,39688,17.08,67%
1.20078E+11,8%,41%,71%,53138,17.74,69%
1.20081E+11,17%,43%,42%,29598,22.91,49%
1.20081E+11,20%,48%,48%,35543,21.45,42%
1.20081E+11,7%,61%,69%,33239,19.79,53%
1.20081E+11,13%,50%,72%,56182,19.91,40%
1.20081E+11,15%,56%,84%,49339,20.69,53%
1.20084E+11,19%,41%,47%,22204,20.64,51%
1.20084E+11,22%,29%,34%,28787,18.88,63%
1.20084E+11,8%,48%,64%,32711,21.30,54%
1.20087E+11,7%,57%,73%,57019,19.18,48%
1.20087E+11,15%,31%,76%,30043,18.69,66%
1.20087E+11,6%,67%,64%,61186,18.52,45%
1.20087E+11,3%,68%,57%,52647,21.45,58%
1.20087E+11,14%,53%,34%,43207,23.01,54%
1.20087E+11,8%,43%,64%,38314,16.71,74%
1.20087E+11,4%,92%,87%,104888,23.01,16%
1.20087E+11,14%,40%,41%,39747,19.03,52%
1.20087E+11,8%,64%,18%,30407,22.18,37%
1.20087E+11,8%,59%,60%,50577,18.98,61%
1.20087E+11,11%,53%,33%,37460,20.18,59%
1.20087E+11,11%,68%,52%,48358,20.15,38%
1.20087E+11,14%,50%,50%,39696,17.03,66%
1.20087E+11,9%,75%,81%,95625,21.30,29%
1.20087E+11,3%,83%,91%,101176,19.76,37%
1.20087E+11,13%,68%,28%,39063,19.86,53%
1.20087E+11,4%,72%,68%,85205,20.62,29%
1.20087E+11,17%,83%,16%,53991,20.57,41%
1.20087E+11,12%,64%,65%,54093,19.37,35%
1.20087E+11,5%,76%,72%,90417,19.35,47%
1.20087E+11,9%,82%,81%,56399,20.62,47%
1.20087E+11,23%,32%,29%,25625,17.56,67%
1.20087E+11,7%,77%,96%,151250,22.28,12%
1.20087E+11,10%,66%,66%,51774,17.78,62%
1.20087E+11,5%,46%,62%,41898,17.49,65%
1.20087E+11,7%,71%,58%,40956,21.74,16%
1.20087E+11,20%,46%,41%,34000,19.32,29%
1.20087E+11,13%,68%,77%,72152,21.15,41%
1.20093E+11,16%,59%,45%,30590,22.16,42%
1.20093E+11,11%,39%,74%,39489,21.96,49%
1.20093E+11,8%,60%,52%,31906,21.96,7%
1.20105E+11,14%,48%,55%,34444,21.74,43%
1.20105E+11,19%,35%,61%,27109,20.96,55%
1.20105E+11,9%,57%,39%,43818,21.37,38%
1.20105E+11,10%,48%,50%,33375,21.81,38%
1.20105E+11,9%,47%,85%,46387,20.89,48%
1.20105E+11,12%,43%,70%,55245,20.25,41%
1.20105E+11,8%,69%,78%,59939,21.25,39%
1.20105E+11,8%,69%,78%,59939,21.08,38%
1.20108E+11,20%,24%,28%,23221,23.45,29%
1.20108E+11,19%,45%,54%,35398,20.30,36%
1.20108E+11,14%,74%,83%,51198,20.37,47%
1.20108E+11,10%,33%,64%,28321,21.57,42%
1.20108E+11,14%,59%,56%,43225,20.84,49%
1.20108E+11,15%,47%,52%,43531,18.49,68%
1.20108E+11,14%,49%,66%,53664,20.81,49%
1.20108E+11,13%,65%,71%,60846,21.23,43%
1.20108E+11,13%,64%,97%,38692,18.91,54%
1.20108E+11,8%,74%,86%,87128,19.18,48%
1.20108E+11,10%,75%,67%,63850,19.96,39%
1.20108E+11,17%,60%,52%,55500,16.78,78%
1.20108E+11,28%,30%,23%,25878,16.32,74%
1.20108E+11,6%,55%,71%,47647,18.61,63%
1.20108E+11,10%,75%,67%,63850,21.40,11%
1.20108E+11,6%,62%,47%,45375,23.06,14%
1.20111E+11,8%,91%,71%,38407,23.35,24%
1.20111E+11,33%,51%,36%,35076,21.98,45%
1.20111E+11,16%,82%,24%,28291,18.64,47%
1.20111E+11,9%,61%,42%,40780,22.91,19%
1.20111E+11,2%,85%,81%,94519,23.45,7%
1.20123E+11,13%,49%,51%,38516,19.27,66%
1.20123E+11,9%,49%,80%,55921,20.89,45%
1.20123E+11,5%,37%,51%,32221,19.42,52%
1.20123E+11,19%,18%,35%,28025,21.30,65%
1.20123E+11,7%,84%,89%,81605,22.33,18%
1.20123E+11,15%,36%,58%,38153,19.81,49%
1.20123E+11,6%,61%,60%,71000,20.93,28%
1.20123E+11,16%,42%,26%,32274,23.45,23%
1.20126E+11,9%,35%,78%,50869,20.32,57%
1.20126E+11,11%,67%,89%,67853,21.37,35%
1.20126E+11,17%,43%,39%,26862,23.55,43%
1.20126E+11,12%,50%,68%,31653,19.10,63%
1.20126E+11,14%,54%,44%,34348,19.03,57%
1.20126E+11,8%,36%,59%,32384,20.18,47%
1.20126E+11,10%,60%,66%,49149,20.25,49%
1.20129E+11,14%,47%,27%,31571,21.69,31%
1.20129E+11,10%,70%,86%,54792,21.94,34%
1.20129E+11,18%,73%,46%,43632,22.40,23%
1.20129E+11,12%,36%,47%,26471,23.33,17%
1.20132E+11,10%,63%,54%,60625,22.08,26%
1.20132E+11,10%,65%,42%,59052,20.89,28%
1.20132E+11,6%,67%,22%,62132,20.42,44%
1.20135E+11,15%,43%,63%,44593,17.66,41%
1.20135E+11,6%,48%,65%,59347,18.10,28%
1.20135E+11,10%,63%,55%,49677,20.71,26%
1.20135E+11,11%,44%,72%,47933,19.20,32%
1.20138E+11,6%,72%,55%,44362,23.50,11%
1.20138E+11,9%,41%,23%,32256,23.47,27%
1.20138E+11,14%,56%,66%,58252,22.59,27%
1.20138E+11,8%,51%,36%,39018,22.67,26%
1.20138E+11,6%,72%,55%,44362,25.60,10%
1.20141E+11,31%,28%,38%,26513,18.52,52%
1.20144E+11,10%,62%,72%,54449,20.37,59%
1.20144E+11,5%,82%,71%,51944,21.59,37%
1.20144E+11,5%,82%,77%,78750,20.81,51%
1.20144E+11,10%,49%,34%,34977,18.35,68%
1.20144E+11,20%,40%,52%,36048,17.20,77%
1.20144E+11,11%,34%,53%,26480,15.76,100%
1.20144E+11,9%,85%,90%,44916,22.94,29%
1.20144E+11,11%,60%,76%,55829,21.54,29%
1.20144E+11,9%,62%,60%,57540,19.86,45%
1.20144E+11,27%,36%,9%,15852,17.20,77%
1.20144E+11,5%,79%,78%,88504,21.79,43%
1.20144E+11,7%,67%,27%,34063,21.54,47%
1.20144E+11,5%,82%,80%,79113,21.76,24%
1.20144E+11,7%,84%,86%,102981,21.74,33%
1.20144E+11,7%,59%,65%,37476,20.79,46%
1.20144E+11,14%,51%,50%,39438,18.98,57%
1.20144E+11,10%,33%,61%,33846,20.91,0%
1.20144E+11,10%,33%,61%,33846,20.54,53%
1.20144E+11,11%,67%,62%,46386,20.62,48%
1.20144E+11,6%,74%,75%,88626,21.67,32%
1.20144E+11,5%,76%,76%,77545,19.47,0%
1.20147E+11,12%,33%,38%,22885,17.69,65%
1.20147E+11,18%,45%,61%,38225,20.18,43%
1.20147E+11,16%,53%,57%,44718,19.88,61%
1.20147E+11,10%,46%,76%,45761,16.37,63%
1.20147E+11,19%,57%,68%,42475,19.00,46%
1.20147E+11,7%,68%,58%,41971,20.67,30%
1.20147E+11,12%,57%,90%,47083,21.15,54%
1.20147E+11,17%,36%,47%,32816,21.42,38%
1.20147E+11,7%,60%,71%,52821,17.34,62%
1.2015E+11,6%,68%,65%,50441,20.91,24%
1.2015E+11,24%,57%,28%,27386,25.57,22%
1.2015E+11,21%,42%,38%,30985,15.88,73%
1.2015E+11,17%,15%,23%,34018,15.02,75%
1.2015E+11,5%,67%,5%,37782,19.27,58%
1.2015E+11,6%,61%,43%,46832,21.23,28%
1.2015E+11,26%,25%,8%,15408,15.32,88%
1.2015E+11,18%,31%,38%,23377,16.64,74%
1.2015E+11,4%,66%,56%,44923,17.81,57%
1.2015E+11,11%,46%,34%,30571,17.17,79%
1.2015E+11,12%,56%,67%,44569,16.93,63%
1.2015E+11,9%,67%,63%,43932,17.42,73%
1.2015E+11,10%,84%,76%,93465,22.64,20%
1.2015E+11,27%,35%,43%,26177,15.32,89%
1.2015E+11,10%,68%,38%,55088,14.58,75%
1.2015E+11,8%,68%,51%,73693,20.89,30%
1.2015E+11,3%,75%,48%,61447,24.18,18%
1.2015E+11,9%,73%,84%,74375,18.96,34%
1.2015E+11,5%,85%,80%,87351,19.10,37%
1.2015E+11,13%,60%,79%,66021,16.88,57%
1.2015E+11,10%,72%,61%,66129,15.32,71%
1.2015E+11,11%,49%,78%,69524,19.08,34%
1.2015E+11,5%,70%,85%,67025,20.18,27%
1.2015E+11,8%,81%,84%,107500,21.03,27%
1.2015E+11,,,,,19.15,33%
1.2015E+11,9%,66%,63%,71761,19.88,41%
1.2015E+11,19%,34%,31%,29274,15.56,94%
1.20153E+11,15%,56%,29%,31588,21.08,55%
1.20153E+11,31%,43%,61%,27434,20.32,52%
1.20153E+11,12%,36%,56%,34771,22.47,52%
1.20153E+11,30%,46%,39%,35785,20.25,54%
1.20153E+11,10%,64%,85%,71298,22.42,23%
1.20153E+11,19%,74%,63%,36929,21.08,65%
1.20153E+11,10%,61%,65%,58685,21.35,27%
1.20153E+11,4%,68%,63%,72910,20.84,36%
1.20153E+11,3%,79%,88%,80757,21.45,22%
1.20153E+11,9%,78%,64%,69809,21.42,21%
1.20153E+11,9%,56%,88%,54524,20.93,20%
1.20153E+11,12%,49%,61%,37500,19.59,58%
1.20153E+11,7%,60%,80%,36875,21.06,55%
1.20156E+11,5%,72%,59%,44722,18.39,34%
1.20156E+11,4%,59%,84%,61750,20.57,45%
1.20156E+11,5%,46%,68%,50074,17.69,34%
1.20156E+11,11%,64%,48%,41875,20.20,37%
1.20156E+11,19%,48%,44%,36853,17.52,46%
1.20156E+11,7%,63%,6%,27188,18.42,49%
1.20156E+11,6%,57%,65%,38177,21.20,39%
1.20156E+11,9%,55%,63%,43546,19.66,41%
1.20156E+11,8%,59%,54%,47240,20.42,42%
1.20156E+11,7%,52%,33%,32343,23.21,31%
1.20156E+11,6%,73%,75%,63208,22.16,23%
1.20156E+11,15%,63%,56%,47174,21.67,32%
1.20156E+11,7%,87%,58%,75237,21.62,31%
1.20156E+11,16%,63%,70%,47115,21.72,12%
1.20156E+11,8%,76%,71%,71071,24.21,13%
1.20156E+11,6%,79%,92%,94067,22.35,14%
1.20156E+11,7%,68%,68%,51969,24.50,18%
1.20159E+11,10%,66%,84%,44286,21.15,38%
1.20159E+11,13%,37%,55%,32104,17.88,48%
1.20159E+11,12%,31%,41%,33750,19.79,46%
1.20159E+11,9%,54%,67%,53173,19.03,41%
1.20159E+11,6%,62%,73%,53276,19.03,52%
1.20159E+11,32%,28%,42%,22485,20.01,54%
1.20159E+11,29%,24%,67%,28286,21.06,11%
1.20159E+11,10%,51%,49%,42060,20.27,48%
1.20159E+11,7%,40%,57%,29920,19.13,59%
1.20159E+11,13%,34%,56%,37632,19.81,63%
1.20159E+11,5%,71%,85%,86712,21.37,31%
1.20159E+11,16%,40%,27%,40677,19.05,49%
1.20159E+11,13%,35%,55%,40493,18.98,52%
1.20159E+11,14%,59%,80%,52860,18.74,55%
1.20159E+11,1%,72%,85%,61842,22.08,15%
1.20159E+11,13%,58%,49%,48915,22.28,19%
1.20159E+11,18%,31%,90%,39952,18.64,64%
1.20162E+11,5%,45%,42%,31275,18.44,57%
1.20165E+11,5%,78%,86%,85529,24.62,14%
1.20165E+11,23%,48%,69%,32449,18.49,44%
1.20165E+11,7%,60%,81%,51946,22.23,22%
1.20165E+11,5%,71%,78%,65580,23.23,18%
1.20168E+11,10%,60%,39%,45469,21.20,41%
1.20168E+11,7%,51%,49%,45455,23.01,30%
1.20168E+11,11%,61%,82%,41595,21.69,30%
1.20168E+11,22%,28%,29%,19714,21.45,59%
1.20168E+11,12%,52%,56%,45903,20.40,50%
1.20168E+11,13%,43%,17%,38851,21.13,26%
1.20168E+11,8%,56%,58%,58154,21.54,30%
1.20171E+11,8%,59%,30%,31516,23.16,37%
1.20171E+11,4%,76%,66%,58792,22.86,23%
1.20171E+11,20%,67%,79%,57750,22.25,37%
1.20171E+11,8%,82%,83%,82466,22.77,27%
1.20171E+11,5%,79%,83%,55152,21.69,33%
1.20171E+11,3%,87%,65%,57200,22.16,31%
1.20171E+11,22%,36%,34%,19833,23.03,33%
1.20171E+11,6%,78%,79%,88111,21.86,37%
1.20171E+11,10%,87%,77%,97031,23.11,17%
1.20174E+11,9%,48%,52%,42024,22.64,35%
1.20174E+11,5%,74%,93%,73403,23.47,9%
1.20174E+11,12%,69%,76%,52393,21.32,31%
1.20174E+11,3%,77%,82%,112375,22.47,5%
1.20174E+11,4%,86%,92%,141591,23.86,3%
1.20174E+11,4%,86%,85%,106951,23.08,5%
1.20177E+11,32%,25%,10%,15104,21.67,34%
1.20177E+11,11%,38%,64%,27144,19.74,60%
1.20177E+11,17%,41%,17%,29421,20.98,68%
1.20177E+11,17%,46%,38%,33750,19.10,54%
1.20177E+11,14%,58%,78%,49083,19.49,49%
1.20177E+11,12%,48%,65%,41963,19.32,47%
1.2018E+11,22%,24%,22%,19044,15.95,68%
1.2018E+11,11%,48%,71%,31701,16.73,54%
1.2018E+11,4%,68%,85%,50428,21.74,20%
1.20183E+11,16%,40%,53%,38725,20.23,49%
1.20192E+11,14%,61%,49%,44120,21.20,42%
1.20192E+11,17%,44%,21%,29652,20.37,58%
1.20192E+11,8%,42%,47%,38316,20.86,40%
1.20192E+11,8%,60%,63%,42979,23.28,27%
1.20192E+11,9%,63%,78%,30074,21.94,36%
1.20192E+11,7%,52%,71%,50935,19.27,53%
1.20192E+11,14%,49%,51%,33397,19.25,47%
1.20192E+11,15%,51%,69%,46538,19.25,53%
1.20192E+11,11%,53%,35%,28289,20.47,45%
1.20195E+11,4%,67%,68%,59738,22.35,29%
1.20198E+11,9%,45%,48%,24680,17.74,49%
1.20198E+11,7%,40%,52%,36717,18.08,44%
1.20198E+11,14%,40%,60%,32247,16.83,46%
1.20198E+11,5%,78%,79%,59353,19.54,21%
1.20201E+11,43%,100%,,,26.31,25%
1.20201E+11,12%,72%,32%,37798,22.13,22%
1.20202E+11,8%,74%,13%,22372,22.69,17%
1.3E+11,14%,48%,23%,39269,20.79,44%
1.3E+11,27%,27%,18%,18240,20.03,51%
1.3E+11,14%,55%,54%,43480,19.93,55%
1.30006E+11,4%,42%,58%,41856,19.00,72%
1.30009E+11,10%,26%,61%,27891,17.49,69%
1.30012E+11,9%,84%,31%,57625,21.35,39%
1.30012E+11,25%,49%,3%,29926,15.51,100%
1.30012E+11,24%,66%,43%,58750,17.66,70%
1.30012E+11,11%,92%,78%,61806,17.00,100%
1.30012E+11,2%,87%,53%,54437,20.57,37%
1.30012E+11,19%,57%,16%,16726,19.37,99%
1.30012E+11,19%,57%,16%,16726,16.68,99%
1.30012E+11,19%,57%,16%,16726,15.20,99%
1.30012E+11,19%,57%,16%,16726,15.61,99%
1.30012E+11,14%,54%,32%,33474,16.32,99%
1.30012E+11,14%,54%,32%,33474,17.88,99%
1.30012E+11,36%,42%,19%,23708,16.32,99%
1.30012E+11,14%,54%,32%,33474,15.46,99%
1.30012E+11,30%,41%,20%,21875,21.25,99%
1.30012E+11,30%,41%,20%,21875,16.95,99%
1.30012E+11,30%,41%,20%,21875,14.83,99%
1.30012E+11,14%,52%,33%,30563,16.39,99%
1.30012E+11,11%,62%,77%,52872,16.68,99%
1.30012E+11,24%,58%,42%,27381,18.27,99%
1.30015E+11,7%,30%,71%,34320,18.61,55%
1.30021E+11,4%,31%,30%,26069,17.81,66%
1.30023E+11,17%,78%,0%,24083,17.83,67%
1.30024E+11,7%,40%,72%,38125,20.59,50%
1.30029E+11,12%,46%,76%,46000,19.32,43%
1.30029E+11,11%,56%,68%,55648,20.08,44%
1.30033E+11,9%,46%,88%,64975,20.27,50%
1.30033E+11,9%,55%,40%,45934,20.81,42%
1.30033E+11,12%,46%,71%,45913,20.86,43%
1.30036E+11,23%,42%,58%,22365,17.32,74%
1.30039E+11,17%,46%,61%,31389,18.32,50%
1.30042E+11,22%,45%,25%,30024,15.90,80%
1.30042E+11,6%,37%,33%,23973,17.66,73%
1.30042E+11,14%,58%,66%,25419,15.00,84%
1.30042E+11,31%,38%,40%,21781,15.05,90%
1.30042E+11,15%,30%,11%,14398,16.27,83%
1.30042E+11,9%,63%,86%,65728,16.95,59%
1.30042E+11,1%,89%,98%,85373,19.62,54%
1.30044E+11,9%,45%,54%,39063,20.05,46%
1.30048E+11,17%,34%,56%,31263,19.88,49%
1.30051E+11,12%,50%,54%,44851,21.18,19%
1.30054E+11,23%,43%,41%,30941,18.35,96%
